Postcode,Datum,Soort
1077,18-06-2023,Woninginbraak
1077,13-06-2023,Woninginbraak
1077,19-05-2023,Woninginbraak
1077,17-05-2023,Woninginbraak
1078,06-07-2023,Woninginbraak
1078,02-07-2023,Woninginbraak
1078,30-06-2023,Woninginbraak
1078,24-05-2023,Woninginbraak
1078,21-05-2023,Woninginbraak
1078,18-05-2023,Woninginbraak
1078,14-05-2023,Woninginbraak
1079,05-06-2023,Woninginbraak
1079,02-06-2023,Woninginbraak
1079,24-04-2023,Woninginbraak
1079,21-04-2023,Woninginbraak
1081,14-07-2023,Woninginbraak
1081,01-07-2023,Woninginbraak
1081,02-06-2023,Woninginbraak
1081,03-05-2023,Woninginbraak
1081,28-04-2023,Woninginbraak
1081,26-04-2023,Woninginbraak
1081,20-04-2023,Woninginbraak
1082,08-07-2023,Woninginbraak
1082,22-06-2023,Woninginbraak
1082,17-06-2023,Woninginbraak
1082,11-06-2023,Woninginbraak
1082,09-06-2023,Woninginbraak
1082,30-05-2023,Woninginbraak
1083,02-07-2023,Woninginbraak
1083,18-05-2023,Woninginbraak
1086,27-06-2023,Woninginbraak
1087,07-07-2023,Poging tot woninginbraak
1091,10-07-2023,Woninginbraak
1091,18-06-2023,Woninginbraak
1091,11-06-2023,Poging tot woninginbraak
1091,27-05-2023,Woninginbraak
1091,26-05-2023,Woninginbraak
1091,25-05-2023,Woninginbraak
1091,22-05-2023,Woninginbraak
1092,14-07-2023,Woninginbraak
1092,11-07-2023,Woninginbraak
1092,14-05-2023,Woninginbraak
1092,01-05-2023,Woninginbraak
1092,20-04-2023,Woninginbraak
1093,11-07-2023,Woninginbraak
1093,28-06-2023,Woninginbraak
1093,23-05-2023,Woninginbraak
1093,20-05-2023,Woninginbraak
1093,01-05-2023,Woninginbraak
1094,26-05-2023,Woninginbraak
1094,28-04-2023,Woninginbraak
1095,18-07-2023,Woninginbraak
1095,08-07-2023,Woninginbraak
1095,14-06-2023,Woninginbraak
1095,12-06-2023,Poging tot woninginbraak
1096,26-06-2023,Woninginbraak
1096,17-06-2023,Woninginbraak
1096,04-06-2023,Woninginbraak
1096,24-05-2023,Poging tot woninginbraak
1096,28-04-2023,Poging tot woninginbraak
1097,15-07-2023,Woninginbraak
1097,09-07-2023,Woninginbraak
1097,07-07-2023,Woninginbraak
1097,05-07-2023,Woninginbraak
1097,04-07-2023,Poging tot woninginbraak
1097,17-06-2023,Woninginbraak
1097,23-05-2023,Woninginbraak
1097,13-05-2023,Woninginbraak
1097,04-05-2023,Woninginbraak
1097,22-04-2023,Woninginbraak
1098,29-06-2023,Woninginbraak
1098,24-06-2023,Woninginbraak
1098,11-05-2023,Poging tot woninginbraak
1098,20-04-2023,Woninginbraak
1102,19-07-2023,Woninginbraak
1102,27-06-2023,Woninginbraak
1102,11-06-2023,Woninginbraak
1102,09-06-2023,Woninginbraak
1102,06-06-2023,Woninginbraak
1102,16-05-2023,Poging tot woninginbraak
1102,14-05-2023,Poging tot woninginbraak
1102,12-05-2023,Woninginbraak
1102,21-04-2023,Poging tot woninginbraak
1103,06-07-2023,Poging tot woninginbraak
1103,18-06-2023,Poging tot woninginbraak
1103,08-06-2023,Woninginbraak
1103,05-06-2023,Woninginbraak
1103,18-05-2023,Woninginbraak
1104,07-07-2023,Poging tot woninginbraak
1104,29-06-2023,Woninginbraak
1104,19-06-2023,Poging tot woninginbraak
1104,15-06-2023,Woninginbraak
1104,26-05-2023,Woninginbraak
1104,17-05-2023,Woninginbraak
1104,16-05-2023,Woninginbraak
1104,02-05-2023,Woninginbraak
1106,08-07-2023,Woninginbraak
1106,19-06-2023,Poging tot woninginbraak
1106,07-06-2023,Woninginbraak
1106,05-06-2023,Woninginbraak
1106,28-04-2023,Woninginbraak
1106,25-04-2023,Woninginbraak
1107,18-06-2023,Woninginbraak
1107,12-05-2023,Woninginbraak
1107,04-05-2023,Woninginbraak
1107,28-04-2023,Poging tot woninginbraak
1107,27-04-2023,Poging tot woninginbraak
1107,22-04-2023,Poging tot woninginbraak
1108,20-05-2023,Woninginbraak
1108,04-05-2023,Woninginbraak
1109,18-05-2023,Woninginbraak
1111,28-06-2023,Poging tot woninginbraak
1111,16-06-2023,Woninginbraak
1112,05-07-2023,Woninginbraak
1113,09-07-2023,Woninginbraak
1115,10-07-2023,Poging tot woninginbraak
1121,19-07-2023,Woninginbraak
1121,19-06-2023,Woninginbraak
1121,30-04-2023,Poging tot woninginbraak
1131,12-07-2023,Poging tot woninginbraak
1135,29-06-2023,Woninginbraak
1141,01-07-2023,Poging tot woninginbraak
1141,28-05-2023,Woninginbraak
1141,17-05-2023,Poging tot woninginbraak
1161,18-07-2023,Poging tot woninginbraak
